,metric,mask_method,mask_ratio,mask_threshold,auroc_score,aupr_score,fpr95
0,DMD,top_ratio,0.0,,0.5,0.75,0.95
1,DMD,top_ratio,0.05,,0.9202360900000001,0.9105729475417355,0.3365
2,DMD,top_ratio,0.1,,0.9638317800000001,0.9573937572189569,0.1328
3,DMD,top_ratio,0.15000000000000002,,0.9745641049999999,0.9681913845790885,0.0878
4,DMD,top_ratio,0.2,,0.9768011700000001,0.9699556508213744,0.0769
5,DMD,top_ratio,0.25,,0.9768972850000002,0.969402882537621,0.0775
6,DMD,top_ratio,0.30000000000000004,,0.9763328749999999,0.9689925944926603,0.0779
7,DMD,top_ratio,0.35000000000000003,,0.9756695599999999,0.967507566150423,0.0779
8,DMD,top_ratio,0.4,,0.9758104699999999,0.9678784211766167,0.0791
9,DMD,top_ratio,0.45,,0.97485696,0.9667126174232313,0.0826
10,DMD,top_ratio,0.5,,0.9756305900000001,0.9677030104559481,0.0789
11,DMD,top_ratio,0.55,,0.9756211699999999,0.9678792679298981,0.0781
12,DMD,top_ratio,0.6000000000000001,,0.9763222850000001,0.9688659460710702,0.0777
13,DMD,top_ratio,0.65,,0.977009035,0.9694701959083668,0.0724
14,DMD,top_ratio,0.7000000000000001,,0.9777789900000001,0.9705021954772906,0.0737
15,DMD,top_ratio,0.75,,0.9782564100000001,0.9714591002611679,0.0706
16,DMD,top_ratio,0.8,,0.97900543,0.9720365682615241,0.0677
17,DMD,top_ratio,0.8500000000000001,,0.9787194200000001,0.9717271641879955,0.0696
18,DMD,top_ratio,0.9,,0.9782577400000001,0.9712239920349344,0.0722
19,DMD,top_ratio,0.9500000000000001,,0.9764488,0.9696639518422614,0.0817
20,DMD,top_ratio,1.0,,0.9765850650000001,0.96842740088717,0.0764
21,DMD,bottom_ratio,0.0,,0.5,0.75,0.95
22,DMD,bottom_ratio,0.05,,0.8967053,0.8988457731119657,0.471
23,DMD,bottom_ratio,0.1,,0.9321828150000001,0.9310033192365348,0.3203
24,DMD,bottom_ratio,0.15000000000000002,,0.9479505850000001,0.9452610945545177,0.234
25,DMD,bottom_ratio,0.2,,0.9545312850000001,0.9497649033535465,0.1961
26,DMD,bottom_ratio,0.25,,0.95778275,0.9521081154741089,0.1693
27,DMD,bottom_ratio,0.30000000000000004,,0.960475,0.9534982477422573,0.1496
28,DMD,bottom_ratio,0.35000000000000003,,0.963436595,0.9558483348565412,0.1287
29,DMD,bottom_ratio,0.4,,0.9674430900000001,0.9596424992785091,0.1108
30,DMD,bottom_ratio,0.45,,0.9702810900000001,0.9625802945613642,0.099
31,DMD,bottom_ratio,0.5,,0.973197855,0.9654164385775879,0.0885
32,DMD,bottom_ratio,0.55,,0.97535682,0.968153698978216,0.0844
33,DMD,bottom_ratio,0.6000000000000001,,0.976727275,0.9694548968245107,0.08
34,DMD,bottom_ratio,0.65,,0.97814395,0.9712418683883631,0.0732
35,DMD,bottom_ratio,0.7000000000000001,,0.978267355,0.9712534087878302,0.0738
36,DMD,bottom_ratio,0.75,,0.9794506350000001,0.9728144253103291,0.0707
37,DMD,bottom_ratio,0.8,,0.98028549,0.9741712387512672,0.065
38,DMD,bottom_ratio,0.8500000000000001,,0.9808376050000001,0.975153399145003,0.0637
39,DMD,bottom_ratio,0.9,,0.983343545,0.9785340425902828,0.0568
40,DMD,bottom_ratio,0.9500000000000001,,0.9864707900000002,0.982483568854704,0.0485
41,DMD,bottom_ratio,1.0,,0.97646899,0.9680978557332477,0.0735
42,DMD,random,0.0,,0.5,0.75,0.95
43,DMD,random,0.05,,0.9455760599999999,0.9405572517164335,0.2313
44,DMD,random,0.1,,0.9690146599999999,0.9627254984565996,0.1165
45,DMD,random,0.15000000000000002,,0.9745163299999999,0.9669874640308462,0.0884
46,DMD,random,0.2,,0.976056705,0.9684899085752996,0.0759
47,DMD,random,0.25,,0.9767637049999999,0.9690415537560306,0.0782
48,DMD,random,0.30000000000000004,,0.977228385,0.9697633778951882,0.0755
49,DMD,random,0.35000000000000003,,0.97731346,0.9697052230657184,0.0758
50,DMD,random,0.4,,0.9775378,0.9703881676870434,0.0789
51,DMD,random,0.45,,0.9762503849999999,0.968606579508124,0.0814
52,DMD,random,0.5,,0.97589585,0.968198422455208,0.0829
53,DMD,random,0.55,,0.975061035,0.967068276692079,0.089
54,DMD,random,0.6000000000000001,,0.9746974850000001,0.966457887793361,0.0851
55,DMD,random,0.65,,0.973955785,0.9652018374912449,0.0841
56,DMD,random,0.7000000000000001,,0.974377215,0.9659837572443299,0.0838
57,DMD,random,0.75,,0.9747489300000001,0.9667386775210306,0.0868
58,DMD,random,0.8,,0.9755444800000002,0.9676171571924255,0.0794
59,DMD,random,0.8500000000000001,,0.9777057749999999,0.9705563717538691,0.0777
60,DMD,random,0.9,,0.9806656549999999,0.9745636596291354,0.0643
61,DMD,random,0.9500000000000001,,0.9828044449999999,0.9771223042329664,0.0577
62,DMD,random,1.0,,0.9763734699999999,0.9680059309729255,0.0752
63,DMD,gt_threshold,,0.0,0.9761664149999999,0.9676364994284945,0.0746
64,DMD,gt_threshold,,0.05,0.9730139500000001,0.9638587062631169,0.0834
65,DMD,gt_threshold,,0.1,0.96232673,0.9501256915935751,0.1228
66,DMD,gt_threshold,,0.15000000000000002,0.93755249,0.9202370164543566,0.2027
67,DMD,gt_threshold,,0.2,0.89426241,0.871245350760772,0.3026
68,DMD,gt_threshold,,0.25,0.8352465400000001,0.8175467519405922,0.4244
69,DMD,gt_threshold,,0.30000000000000004,0.778583445,0.7764610652833314,0.5318
