,metric,mask_method,mask_ratio,mask_threshold,auroc_score,aupr_score,fpr95
0,DMD,top_ratio,0.0,,0.5,0.75,0.95
1,DMD,top_ratio,0.05,,0.7533706600000001,0.7789725781988239,0.8221
2,DMD,top_ratio,0.1,,0.8069672999999999,0.8285182720928774,0.7613
3,DMD,top_ratio,0.15000000000000002,,0.84011761,0.8575051308149733,0.685
4,DMD,top_ratio,0.2,,0.8625180299999999,0.8762540928813706,0.6218
5,DMD,top_ratio,0.25,,0.879170195,0.890090209222635,0.5771
6,DMD,top_ratio,0.30000000000000004,,0.89038303,0.8999572335904237,0.5319
7,DMD,top_ratio,0.35000000000000003,,0.8989644849999999,0.9074412522202258,0.5058
8,DMD,top_ratio,0.4,,0.905422075,0.9136489333101656,0.4835
9,DMD,top_ratio,0.45,,0.90961718,0.9178469059839319,0.4718
10,DMD,top_ratio,0.5,,0.9141040049999999,0.9222826712530051,0.4559
11,DMD,top_ratio,0.55,,0.91756945,0.9250195120613505,0.4266
12,DMD,top_ratio,0.6000000000000001,,0.9203849199999999,0.9275441337292876,0.4171
13,DMD,top_ratio,0.65,,0.9223118550000001,0.9290842584819714,0.4134
14,DMD,top_ratio,0.7000000000000001,,0.9231138050000002,0.9297315930177742,0.4059
15,DMD,top_ratio,0.75,,0.923308275,0.9300435001940155,0.4008
16,DMD,top_ratio,0.8,,0.923151545,0.9296161404164822,0.3979
17,DMD,top_ratio,0.8500000000000001,,0.9225114400000001,0.9290264128550958,0.4028
18,DMD,top_ratio,0.9,,0.9207605099999999,0.9276498390487691,0.4089
19,DMD,top_ratio,0.9500000000000001,,0.917558955,0.9257815060941744,0.4349
20,DMD,top_ratio,1.0,,0.9535046,0.954139094223694,0.2231
21,DMD,bottom_ratio,0.0,,0.5,0.75,0.95
22,DMD,bottom_ratio,0.05,,0.66821689,0.7067748560392162,0.8964
23,DMD,bottom_ratio,0.1,,0.695870605,0.73527983416286,0.8719
24,DMD,bottom_ratio,0.15000000000000002,,0.72879939,0.7682198122976227,0.8495
25,DMD,bottom_ratio,0.2,,0.7623915750000001,0.7993600663255642,0.8364
26,DMD,bottom_ratio,0.25,,0.79660939,0.8278503603674854,0.7951
27,DMD,bottom_ratio,0.30000000000000004,,0.824901815,0.850494687780714,0.7517
28,DMD,bottom_ratio,0.35000000000000003,,0.8481539300000001,0.8691277411733229,0.7046
29,DMD,bottom_ratio,0.4,,0.86803688,0.8843553345271882,0.6445
30,DMD,bottom_ratio,0.45,,0.88357686,0.8967723295085022,0.6035
31,DMD,bottom_ratio,0.5,,0.8958904599999999,0.9062466192055976,0.5365
32,DMD,bottom_ratio,0.55,,0.902969265,0.9121821946301565,0.5017
33,DMD,bottom_ratio,0.6000000000000001,,0.908944265,0.9172149901856319,0.4811
34,DMD,bottom_ratio,0.65,,0.9137136,0.9213491730074056,0.4506
35,DMD,bottom_ratio,0.7000000000000001,,0.91787817,0.9247886729709555,0.432
36,DMD,bottom_ratio,0.75,,0.92249592,0.9283955193170955,0.4013
37,DMD,bottom_ratio,0.8,,0.92525615,0.9306280826815458,0.393
38,DMD,bottom_ratio,0.8500000000000001,,0.9280739549999999,0.932990579604596,0.3725
39,DMD,bottom_ratio,0.9,,0.93016255,0.9346462210926318,0.3582
40,DMD,bottom_ratio,0.9500000000000001,,0.93472597,0.9379499774595039,0.3275
41,DMD,bottom_ratio,1.0,,0.9535046,0.954139094223694,0.2231
42,DMD,random,0.0,,0.5,0.75,0.95
43,DMD,random,0.05,,0.7635505600000001,0.7925581867491049,0.8234
44,DMD,random,0.1,,0.8409078350000001,0.8574444192085597,0.6945
45,DMD,random,0.15000000000000002,,0.87968964,0.889784008673949,0.5672
46,DMD,random,0.2,,0.899220605,0.9071307529670838,0.4957
47,DMD,random,0.25,,0.90550621,0.9121978523024765,0.4675
48,DMD,random,0.30000000000000004,,0.9087133500000001,0.9152322231327408,0.453
49,DMD,random,0.35000000000000003,,0.91201856,0.9181547810273041,0.4396
50,DMD,random,0.4,,0.91358527,0.9201334527019611,0.4346
51,DMD,random,0.45,,0.9157702050000001,0.9220430405233497,0.4312
52,DMD,random,0.5,,0.9181913450000001,0.9236212366725016,0.4077
53,DMD,random,0.55,,0.9193561250000001,0.9248810111485927,0.4013
54,DMD,random,0.6000000000000001,,0.921687925,0.9273027358581085,0.3922
55,DMD,random,0.65,,0.92331026,0.9289286176299031,0.3783
56,DMD,random,0.7000000000000001,,0.9245306050000002,0.9299200064751681,0.386
57,DMD,random,0.75,,0.925430135,0.9308801051335335,0.3707
58,DMD,random,0.8,,0.926109565,0.9312595878362186,0.3707
59,DMD,random,0.8500000000000001,,0.927617235,0.9328978866743631,0.3586
60,DMD,random,0.9,,0.9267148550000001,0.9324359984939582,0.3721
61,DMD,random,0.9500000000000001,,0.9268630550000001,0.9328630297007121,0.3664
62,DMD,random,1.0,,0.9535046,0.954139094223694,0.2231
63,DMD,gt_threshold,,0.0,0.9535046,0.954139094223694,0.2231
64,DMD,gt_threshold,,0.05,0.9114161199999999,0.9182484158131344,0.4538
65,DMD,gt_threshold,,0.1,0.871750815,0.8796703757465402,0.5695
66,DMD,gt_threshold,,0.15000000000000002,0.822479075,0.8300634852458799,0.6547
67,DMD,gt_threshold,,0.2,0.773239925,0.7802220532531946,0.7107
68,DMD,gt_threshold,,0.25,0.7253692899999999,0.7382743027444867,0.7507
69,DMD,gt_threshold,,0.30000000000000004,0.6868700249999999,0.7121569012592341,0.793
70,DMD,gt_threshold,,0.35000000000000003,0.64895832,0.6892475785441852,0.819
71,DMD,gt_threshold,,0.4,0.6163114049999999,0.6673122815714706,0.8442
72,DMD,gt_threshold,,0.45,0.5907018399999999,0.6510747133062916,0.8632
73,DMD,gt_threshold,,0.5,0.5685755,0.635687334055607,0.8813
74,DMD,gt_threshold,,0.55,0.5495360100000001,0.6237464144217421,0.8951
75,DMD,gt_threshold,,0.6000000000000001,0.53954016,0.6234707231721363,0.9006
76,DMD,gt_threshold,,0.65,0.530365595,0.6168502623593809,0.9097053913608314
77,DMD,gt_threshold,,0.7000000000000001,0.520045125,0.5975662135658387,0.9236629068164953
78,DMD,gt_threshold,,0.75,0.51402592,0.5941335235163315,0.9318401502504172
79,DMD,gt_threshold,,0.8,0.5100454200000001,0.5940908570731923,0.9380380637836722
80,DMD,gt_threshold,,0.8500000000000001,0.5084108700000001,0.6014207714627252,0.9404894327257833
81,DMD,gt_threshold,,0.9,0.50689201,0.6165181974599647,0.9425473780674066
82,DMD,gt_threshold,,0.9500000000000001,0.50501828,0.5987758065102948,0.9442677880231025
83,DMD,gt_threshold,,1.0,0.5,0.75,0.95
84,DMD,lt_threshold,,0.0,0.5,0.75,0.95
85,DMD,lt_threshold,,0.05,0.8903932150000001,0.9024323104298819,0.5548
86,DMD,lt_threshold,,0.1,0.919006125,0.9255380861104096,0.4277
87,DMD,lt_threshold,,0.15000000000000002,0.92560596,0.9302005919256933,0.3799
88,DMD,lt_threshold,,0.2,0.9290874399999999,0.9326586877988301,0.3603
89,DMD,lt_threshold,,0.25,0.933884485,0.9358720762745072,0.3093
90,DMD,lt_threshold,,0.30000000000000004,0.937283685,0.9389265221429667,0.2967
91,DMD,lt_threshold,,0.35000000000000003,0.9417967700000001,0.9426548301772951,0.2799
92,DMD,lt_threshold,,0.4,0.9449873849999999,0.9458552055752154,0.2612
