,metric,mask_method,mask_ratio,mask_threshold,auroc_score,aupr_score,fpr95
68,DCMD,gt_threshold,,0.25,0.69773677,0.7121939988400506,0.7944
69,DCMD,gt_threshold,,0.30000000000000004,0.660955165,0.6883836486764038,0.8223
70,DCMD,gt_threshold,,0.35000000000000003,0.6252986300000001,0.6657556163783537,0.8456
71,DCMD,gt_threshold,,0.4,0.59856596,0.6492158828811605,0.8639
72,DCMD,gt_threshold,,0.45,0.578108915,0.6378360076004409,0.8816
73,DCMD,gt_threshold,,0.5,0.556977775,0.619194243307846,0.8942
74,DCMD,gt_threshold,,0.55,0.5423760999999999,0.6118174576803711,0.9075
75,DCMD,gt_threshold,,0.6000000000000001,0.53314551,0.611042024389547,0.9127
76,DCMD,gt_threshold,,0.65,0.525597205,0.604301360052496,0.9145805456316987
77,DCMD,gt_threshold,,0.7000000000000001,0.5170080549999999,0.587030405157212,0.9267090109191138
78,DCMD,gt_threshold,,0.75,0.5112781999999999,0.5766608743911146,0.9346138564273788
79,DCMD,gt_threshold,,0.8,0.50796962,0.5802553566197204,0.9401280008256786
80,DCMD,gt_threshold,,0.8500000000000001,0.5065286000000001,0.5877343537399244,0.9423842514847429
81,DCMD,gt_threshold,,0.9,0.50559857,0.6086516182104785,0.9438454739843193
82,DCMD,gt_threshold,,0.9500000000000001,0.5041206,0.5881539093687832,0.9451661161211875
83,DCMD,gt_threshold,,1.0,0.5,0.75,0.95
84,DCMD,lt_threshold,,0.0,0.5,0.75,0.95
85,DCMD,lt_threshold,,0.05,0.8744257049999999,0.8903471872255994,0.6226
86,DCMD,lt_threshold,,0.1,0.9099091100000001,0.91800614856634,0.471
87,DCMD,lt_threshold,,0.15000000000000002,0.9164172850000001,0.9221783523984344,0.4242
88,DCMD,lt_threshold,,0.2,0.919087015,0.9237129347677784,0.4093
89,DCMD,lt_threshold,,0.25,0.92352681,0.9267403241422602,0.3743
90,DCMD,lt_threshold,,0.30000000000000004,0.927921065,0.9306581555147707,0.3544
91,DCMD,lt_threshold,,0.35000000000000003,0.9328552849999999,0.9349762166771478,0.3251
92,DCMD,lt_threshold,,0.4,0.9359986049999999,0.938259350162702,0.3134
93,DCMD,lt_threshold,,0.45,0.9382652000000001,0.9407428369634177,0.3081
94,DCMD,lt_threshold,,0.5,0.9402160799999999,0.9426698143962123,0.3008
95,DCMD,lt_threshold,,0.55,0.941221465,0.9438035876630457,0.2934
96,DCMD,lt_threshold,,0.6000000000000001,0.94205943,0.9446059703788217,0.2916
97,DCMD,lt_threshold,,0.65,0.94269164,0.9451867290212039,0.2899
98,DCMD,lt_threshold,,0.7000000000000001,0.94316604,0.9456031969156082,0.2867
99,DCMD,lt_threshold,,0.75,0.94359736,0.945929670398451,0.2861
100,DCMD,lt_threshold,,0.8,0.9439162799999999,0.9461968962134475,0.2842
101,DCMD,lt_threshold,,0.8500000000000001,0.94394514,0.9463296775222739,0.2829
102,DCMD,lt_threshold,,0.9,0.9440801700000001,0.9465079176788846,0.2829
103,DCMD,lt_threshold,,0.9500000000000001,0.9440797999999999,0.9464507818531018,0.2829
104,DCMD,lt_threshold,,1.0,0.94411391,0.9465037075923086,0.2825
