,metric,mask_method,mask_ratio,mask_threshold,auroc_score,aupr_score,fpr95
0,DMD,top_ratio,0.0,,0.5,0.75,0.95
1,DMD,top_ratio,0.05,,0.7084923700000001,0.6798914602976109,0.7961
2,DMD,top_ratio,0.1,,0.771889005,0.7380819106444387,0.7113
3,DMD,top_ratio,0.15000000000000002,,0.822195225,0.7898452126707685,0.6222
4,DMD,top_ratio,0.2,,0.852990055,0.8221737026823522,0.5451
5,DMD,top_ratio,0.25,,0.875795285,0.8511041944496731,0.4903
6,DMD,top_ratio,0.30000000000000004,,0.89008906,0.8655080449227257,0.4275
7,DMD,top_ratio,0.35000000000000003,,0.9012881450000001,0.8770569401048052,0.3841
8,DMD,top_ratio,0.4,,0.9107515049999999,0.8856629703540995,0.3512
9,DMD,top_ratio,0.45,,0.9156061400000002,0.8907650793657875,0.3238
10,DMD,top_ratio,0.5,,0.918997175,0.894114778800899,0.309
11,DMD,top_ratio,0.55,,0.9228575450000001,0.8979336897429187,0.2858
12,DMD,top_ratio,0.6000000000000001,,0.92552567,0.9020872230957175,0.276
13,DMD,top_ratio,0.65,,0.9277691050000001,0.9024775324191673,0.2638
14,DMD,top_ratio,0.7000000000000001,,0.9245404399999999,0.9003082330921066,0.2747
15,DMD,top_ratio,0.75,,0.9245545,0.8990124569339201,0.2705
16,DMD,top_ratio,0.8,,0.9190611499999999,0.8920564690624979,0.2766
17,DMD,top_ratio,0.8500000000000001,,0.9118493199999999,0.8830268700849001,0.2895
18,DMD,top_ratio,0.9,,0.8989023450000001,0.8655943905991113,0.3204
19,DMD,top_ratio,0.9500000000000001,,0.88511467,0.8455673364877512,0.3504
20,DMD,top_ratio,1.0,,0.859973495,0.8081705264620254,0.3988
21,DMD,bottom_ratio,0.0,,0.5,0.75,0.95
22,DMD,bottom_ratio,0.05,,0.6709357549999999,0.7037870026744462,0.9257
23,DMD,bottom_ratio,0.1,,0.728709095,0.7462200591364372,0.8624
24,DMD,bottom_ratio,0.15000000000000002,,0.766929145,0.7772337632995605,0.8151
25,DMD,bottom_ratio,0.2,,0.802089555,0.8078346664871279,0.7629
26,DMD,bottom_ratio,0.25,,0.8385415350000001,0.8409823110162544,0.6872
27,DMD,bottom_ratio,0.30000000000000004,,0.8578609999999999,0.8577701803901285,0.6302
28,DMD,bottom_ratio,0.35000000000000003,,0.88128528,0.876565387961915,0.5388
29,DMD,bottom_ratio,0.4,,0.8961581500000001,0.8920305351379807,0.4914
30,DMD,bottom_ratio,0.45,,0.909459365,0.9026596197924487,0.4198
31,DMD,bottom_ratio,0.5,,0.9185968299999999,0.9114194229054413,0.3784
32,DMD,bottom_ratio,0.55,,0.926085785,0.9174979565383352,0.351
33,DMD,bottom_ratio,0.6000000000000001,,0.9292656549999999,0.9183591945740942,0.3223
34,DMD,bottom_ratio,0.65,,0.9325907250000001,0.9201780782630783,0.2884
35,DMD,bottom_ratio,0.7000000000000001,,0.9337544199999999,0.9196002722363257,0.2701
36,DMD,bottom_ratio,0.75,,0.93018892,0.9129615890688904,0.2716
37,DMD,bottom_ratio,0.8,,0.9278262049999999,0.9085885843388621,0.2708
38,DMD,bottom_ratio,0.8500000000000001,,0.9225102350000001,0.8993002323920319,0.2856
39,DMD,bottom_ratio,0.9,,0.916259995,0.8908881511178093,0.2942
40,DMD,bottom_ratio,0.9500000000000001,,0.90518348,0.8771740942271324,0.3182
41,DMD,bottom_ratio,1.0,,0.8612342350000001,0.8094909684547467,0.392
42,DMD,random,0.0,,0.5,0.75,0.95
43,DMD,random,0.05,,0.6823911650000001,0.6950835984275998,0.8883
44,DMD,random,0.1,,0.794549865,0.7900685911398276,0.7482
45,DMD,random,0.15000000000000002,,0.8581509100000001,0.8512657527553258,0.6043
46,DMD,random,0.2,,0.8860688250000001,0.8768425797306064,0.5069
47,DMD,random,0.25,,0.90151171,0.8935241448279703,0.4394
48,DMD,random,0.30000000000000004,,0.90934208,0.898272800144371,0.4082
49,DMD,random,0.35000000000000003,,0.91705498,0.9076297802029107,0.3837
50,DMD,random,0.4,,0.9185901450000001,0.9089563494304189,0.3667
51,DMD,random,0.45,,0.9207008900000001,0.9113109401015006,0.3423
52,DMD,random,0.5,,0.922299225,0.9120702508155931,0.3405
53,DMD,random,0.55,,0.92209191,0.910141150578166,0.3262
54,DMD,random,0.6000000000000001,,0.92508506,0.9119350686145311,0.319
55,DMD,random,0.65,,0.9255950450000001,0.9113339771396793,0.3029
56,DMD,random,0.7000000000000001,,0.924137095,0.909171893918969,0.3071
57,DMD,random,0.75,,0.9234106649999999,0.9083683359257593,0.2977
