,metric,auroc_score,aupr_score,fpr95
0,MSP,0.8541750350000001,0.845479533534105,0.4851
1,Mahalanobis,0.9340747600000001,0.9324938307930655,0.2874
2,ClasswiseMahalanobis,0.9197266999999999,0.9090488419282622,0.3032
3,SML,0.906888775,0.8917649527440679,0.3801
