,metric,auroc_score,aupr_score,fpr95
0,MSP,0.9488497899999999,0.937865059327996,0.184
1,Mahalanobis,0.9542742400000002,0.9562960526289902,0.2332
2,ClasswiseMahalanobis,0.9609403000000001,0.9615131341542987,0.1971
3,SML,0.961251175,0.9594723754867598,0.1813
